n	div-checks	nanos
0	0	11703.0
10000	133616	3.1808675E7
20000	287232	4.8276944E7
30000	447232	6.0569046E7
40000	614464	8.627497E7
50000	784464	5.2469494E7
60000	954464	1.28647819E8
70000	1128928	1.48542393E8
80000	1308928	6.4933922E7
90000	1488928	7.4204929E7
100000	1668928	8.4933236E7
110000	1848928	1.06371127E8
120000	2028928	9.2349049E7
130000	2208928	1.05818459E8
140000	2397856	1.15644183E8
150000	2587856	1.63716034E8
160000	2777856	1.33786254E8
170000	2967856	1.37504546E8
180000	3157856	1.5236923E8
190000	3347856	1.60412608E8
200000	3537856	1.95849755E8
210000	3727856	2.19152497E8
220000	3917856	1.93707838E8
230000	4107856	1.99115147E8
240000	4297856	2.1204564E8
250000	4487856	2.21013544E8
260000	4677856	2.30514806E8
270000	4875712	3.28216159E8
280000	5075712	2.79744655E8
290000	5275712	2.65223742E8
300000	5475712	2.78884202E8
310000	5675712	2.91464487E8
320000	5875712	2.96332586E8
330000	6075712	3.06983947E8
340000	6275712	3.23831681E8
350000	6475712	3.33817735E8
360000	6675712	3.43748784E8
370000	6875712	3.55926491E8
380000	7075712	3.70909666E8
390000	7275712	3.93323575E8
400000	7475712	3.9521388E8
410000	7675712	4.04249368E8
420000	7875712	4.09400676E8
430000	8075712	4.24924524E8
440000	8275712	4.40731581E8
450000	8475712	4.55367767E8
460000	8675712	4.67156939E8
470000	8875712	4.81055551E8
480000	9075712	4.87839994E8
490000	9275712	5.04473858E8
500000	9475712	5.20913455E8
510000	9675712	5.32097589E8
520000	9875712	5.34024465E8
530000	10081424	5.61157261E8
540000	10291424	5.31967687E8
550000	10501424	6.07414291E8
560000	10711424	5.9066486E8
570000	10921424	6.03996469E8
580000	11131424	6.33629874E8
590000	11341424	6.40681141E8
600000	11551424	6.44670355E8
610000	11761424	6.70701326E8
620000	11971424	6.64732866E8
630000	12181424	6.73326863E8
640000	12391424	7.17382585E8
650000	12601424	7.00634325E8
660000	12811424	6.92728748E8
670000	13021424	7.24115827E8
680000	13231424	7.98269849E8
690000	13441424	7.5219275E8
700000	13651424	7.4546536E8
710000	13861424	7.86034505E8
720000	14071424	8.01247642E8
730000	14281424	8.3824917E8
740000	14491424	8.28015309E8
750000	14701424	7.99858513E8
760000	14911424	8.33696756E8
770000	15121424	8.71243637E8
780000	15331424	8.81901727E8
790000	15541424	9.00391958E8
800000	15751424	9.27364717E8
810000	15961424	9.50001858E8
820000	16171424	9.76509136E8
830000	16381424	1.000458752E9
840000	16591424	1.009212494E9
850000	16801424	1.032149521E9
860000	17011424	1.043548109E9
870000	17221424	1.046829007E9
880000	17431424	1.065474886E9
890000	17641424	1.101772487E9
900000	17851424	1.09052662E9
910000	18061424	1.070116242E9
920000	18271424	1.082126305E9
930000	18481424	1.084437621E9
940000	18691424	1.104092579E9
950000	18901424	1.126407014E9
960000	19111424	1.094627303E9
970000	19321424	1.10302323E9
980000	19531424	1.10742848E9
990000	19741424	1.214254555E9
1000000	19951424	1.253129126E9
